Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,C_0603_1608Metric,76.8,-120.2,270.0,bottom
C12,220nF,C_0603_1608Metric,91.25,-108.25,180.0,bottom
C15,100nF,C_0603_1608Metric,76.5,-72.0,180.0,bottom
C3,1uF,C_0603_1608Metric,79.2,-117.1,180.0,bottom
C4,1uF,C_0603_1608Metric,78.4,-120.2,270.0,bottom
C5,1uF,C_0603_1608Metric,80.0,-120.2,270.0,bottom
C6,1uF,C_0603_1608Metric,81.6,-120.2,270.0,bottom
C7,1uF,C_0603_1608Metric,83.9,-116.9,270.0,bottom
C8,1uF,C_0603_1608Metric,83.9,-120.2,270.0,bottom
C9,1uF,C_0603_1608Metric,86.4,-120.2,270.0,bottom
FL1,~,AFC24-S06FIA-00,90.5,-111.97,180.0,bottom
P1,~,AFC24-S24FIA-00,78.85,-126.555,180.0,bottom
R1,1M,R_0603_1608Metric,68.0,-125.1,0.0,bottom
R10,10k,R_0603_1608Metric,77.5,-101.175,270.0,bottom
R2,2.2R,R_0603_1608Metric,75.2,-120.2,90.0,bottom
R4,10k,R_0603_1608Metric,133.275,-90.7,180.0,bottom
R7,10k,R_0603_1608Metric,68.5,-101.175,270.0,bottom
R8,10k,R_0603_1608Metric,71.5,-101.175,270.0,bottom
R9,10k,R_0603_1608Metric,74.5,-101.25,270.0,bottom
TS1,~,AFC24-S06FIA-00,134.0,-97.12,180.0,bottom
