Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,C_0603_1608Metric,76.8,-120.2,270.0,bottom
C12,220nF,C_0603_1608Metric,91.25,-108.25,180.0,bottom
C15,100nF,C_0603_1608Metric,76.5,-72.0,180.0,bottom
C3,1uF,C_0603_1608Metric,79.2,-117.1,180.0,bottom
C4,1uF,C_0603_1608Metric,78.4,-120.2,270.0,bottom
C5,1uF,C_0603_1608Metric,80.0,-120.2,270.0,bottom
C6,1uF,C_0603_1608Metric,81.6,-120.2,270.0,bottom
C7,1uF,C_0603_1608Metric,83.9,-116.9,270.0,bottom
C8,1uF,C_0603_1608Metric,83.9,-120.2,270.0,bottom
C9,1uF,C_0603_1608Metric,86.4,-120.2,270.0,bottom
D1,MBR0530,D_SOD-123,75.1,-114.6,180.0,bottom
D2,MBR0530,D_SOD-123,69.4,-112.9,180.0,bottom
D3,MBR0530,D_SOD-123,75.1,-117.1,0.0,bottom
FL1,~,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,90.5,-112.2,0.0,bottom
P1,~,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,78.85,-126.7,0.0,bottom
R1,1M,R_0603_1608Metric,68.0,-125.1,0.0,bottom
R10,10k,R_0603_1608Metric,77.5,-101.175,270.0,bottom
R2,2.2R,R_0603_1608Metric,75.2,-120.2,90.0,bottom
R4,10k,R_0603_1608Metric,133.275,-90.7,180.0,bottom
R7,10k,R_0603_1608Metric,68.5,-101.175,270.0,bottom
R8,10k,R_0603_1608Metric,71.5,-101.175,270.0,bottom
R9,10k,R_0603_1608Metric,74.5,-101.25,270.0,bottom
TS1,~,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,134.0,-97.2,0.0,bottom
U1,TPS61165DBV,SOT-23-6,90.5,-105.25,270.0,bottom
U3,DS18B20Z,SOIC-8_3.9x4.9mm_P1.27mm,76.5,-76.25,180.0,bottom
