Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT5,CR2032,BatteryHolder_Keystone_1058_1x2032,124.25,-71.25,90.0,top
C1,1uF,C_0603_1608Metric,124.0,-145.0,90.0,top
C10,4.5/20pF,C_Trimmer_Voltronics_JZ,119.525,-90.905,0.0,top
C11,4.7uF,C_0603_1608Metric,122.975,-130.75,180.0,top
C12,4.7uF,C_0603_1608Metric,123.0,-135.5,180.0,top
C13,100nF,C_0603_1608Metric,142.75,-111.015,-90.0,top
C14,100nF,C_0603_1608Metric,76.0,-146.0,0.0,top
C15,100nF,C_0603_1608Metric,85.0,-68.5,90.0,top
C16,100nF,C_0603_1608Metric,87.25,-74.25,-90.0,top
C2,100nF,C_0603_1608Metric,58.5,-150.25,-90.0,top
C3,22uF,C_0603_1608Metric,113.25,-145.0,90.0,top
C4,22uF,C_0603_1608Metric,115.0,-145.0,90.0,top
C5,100nF,C_0603_1608Metric,87.0,-97.5,0.0,top
C6,1uF,C_0603_1608Metric,116.75,-145.0,90.0,top
C7,1uF,C_0603_1608Metric,128.75,-118.25,0.0,top
C8,4.7uF,C_0603_1608Metric,120.75,-120.25,90.0,top
C9,4.7uF,C_0603_1608Metric,124.5,-110.5,90.0,top
D1,D_TVS,D_SOD-323,61.5,-149.25,180.0,top
D10,D_TVS,D_SOD-323,90.75,-75.0,90.0,top
D2,M7,D_SMA,64.75,-66.5,-90.0,top
D3,M7,D_SMA,68.75,-66.5,-90.0,top
D4,M7,D_SMA,129.525,-90.655,180.0,top
D5,M7,D_SMA,135.5,-88.75,90.0,top
D6,M7,D_SMA,64.75,-108.5,-90.0,top
D7,M7,D_SMA,68.75,-108.5,-90.0,top
D8,D_TVS,D_SOD-323,93.25,-75.0,90.0,top
D9,D_TVS,D_SOD-323,95.75,-75.0,90.0,top
FB1,FerriteBead_Small,L_0603_1608Metric,61.5,-151.25,0.0,top
FB2,FerriteBead_Small,L_0603_1608Metric,63.0,-142.75,0.0,top
FB3,FerriteBead_Small,L_0603_1608Metric,88.75,-74.25,-90.0,top
Q1,2N7002,SOT-23,132.25,-120.9375,90.0,top
Q2,BC817,SOT-23,76.5,-74.5,180.0,top
Q3,BC817,SOT-23,76.5,-79.25,180.0,top
Q4,BC817,SOT-23,76.25,-117.5,180.0,top
Q5,BC817,SOT-23,76.25,-121.25,180.0,top
R1,47k,R_0603_1608Metric,120.25,-110.5,90.0,top
R10,100R,R_0603_1608Metric,87.0,-99.5,180.0,top
R11,4.7k,R_0603_1608Metric,81.75,-141.75,-90.0,top
R12,4.7k,R_0603_1608Metric,79.0,-141.75,-90.0,top
R13,1K,R_0603_1608Metric,81.75,-101.25,180.0,top
R14,100R,R_0603_1608Metric,129.75,-124.25,0.0,top
R15,10k,R_0603_1608Metric,133.25,-124.25,0.0,top
R16,120R,R_0603_1608Metric,90.0,-79.0,180.0,top
R17,100k,R_0603_1608Metric,105.75,-61.25,-90.0,top
R18,120R,R_0603_1608Metric,89.75,-87.5,180.0,top
R19,0R,R_0603_1608Metric,123.775,-90.655,90.0,top
R2,0R,R_0603_1608Metric,127.75,-116.5,0.0,top
R20,0R,R_0603_1608Metric,129.525,-94.405,0.0,top
R21,120R,R_0603_1608Metric,90.5,-115.75,180.0,top
R22,120R,R_0603_1608Metric,90.5,-120.75,180.0,top
R3,0R,R_0603_1608Metric,121.0,-145.0,90.0,top
R4,5.1k,R_0603_1608Metric,66.75,-149.5,180.0,top
R5,1K,R_0603_1608Metric,124.75,-120.25,-90.0,top
R6,10k,R_0603_1608Metric,122.5,-142.25,180.0,top
R7,5.1k,R_0603_1608Metric,66.75,-147.5,180.0,top
R8,3.9k,R_0603_1608Metric,127.75,-112.45,0.0,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,136.375,-149.0,-90.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,128.875,-149.0,-90.0,top
U1,SRV05-4,SOT-23-6,63.0,-146.0,-90.0,top
U10,MAX17048G_T10,SON50P200X200X80-9N,140.25,-111.0,-90.0,top
U11,LTV-217,SOP-4_4.4x2.6mm_P1.27mm,83.1875,-115.885,180.0,top
U14,LTV-217,SOP-4_4.4x2.6mm_P1.27mm,83.25,-120.75,180.0,top
U2,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,122.75,-115.4375,-90.0,top
U6,LTV-217,SOP-4_4.4x2.6mm_P1.27mm,83.0,-78.135,180.0,top
U8,PCF8563T,SOIC-8_3.9x4.9mm_P1.27mm,123.775,-96.155,0.0,top
U9,LTV-217,SOP-4_4.4x2.6mm_P1.27mm,82.75,-87.5,180.0,top
Y1,32.768khz,Crystal_SMD_3215-2Pin_3.2x1.5mm,118.025,-95.405,-90.0,top
