Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,174.3925,-58.2545,180.0,top
C10,27pF,C_0603_1608Metric,177.1305,-80.8835,0.0,top
C11,22uF,C_0805_2012Metric,186.5845,-87.7025,180.0,top
C12,100nF/16V,C_0805_2012Metric,183.4095,-73.9865,180.0,top
C13,100nF/16V,C_0805_2012Metric,138.8025,-114.3725,-90.0,top
C14,100nF/16V,C_0805_2012Metric,147.0575,-114.3725,90.0,top
C2,10uF,C_0805_2012Metric,169.9475,-54.1745,90.0,top
C3,22uF,C_0805_2012Metric,174.3925,-68.4145,0.0,top
C4,22uF,C_0805_2012Metric,180.1075,-67.1445,180.0,top
C5,22uF,C_0805_2012Metric,103.9075,-54.8755,90.0,top
C6,100nF/16V,C_0805_2012Metric,197.2525,-71.8275,0.0,top
C7,100nF/16V,C_0805_2012Metric,99.4625,-54.8755,90.0,top
C8,1uF,C_0603_1608Metric,103.9075,-59.7755,-90.0,top
C9,27pF,C_0603_1608Metric,177.1305,-73.8985,180.0,top
D1,1N5819WS,D_SOD-323,179.4725,-59.5245,90.0,top
D2,B5819W SL,D_SOD-123,172.6145,-81.7335,0.0,top
D3,B5819W SL,D_SOD-123,166.2645,-81.7335,180.0,top
D4,B5819W SL,D_SOD-123,169.4395,-90.6235,180.0,top
D5,BAT54C,SOT-23,165.327,-96.3385,0.0,top
D6,M7,D_SMA,132.4825,-74.3675,180.0,top
D7,M7,D_SMA,132.4825,-87.7025,180.0,top
K1,EE2-3TNUH,Relay_DPDT_Kemet_EE2_NUH_DoubleCoil,132.7365,-78.7005,0.0,bottom
L1,2.2uH,L_1008_2520Metric,180.1075,-63.9695,0.0,top
LED1,GREEN,LED_0805_2012Metric,196.92,-56.7145,180.0,top
LED2,RED,LED_0805_2012Metric,196.92,-53.1585,180.0,top
LED3,YELLOW,LED_0805_2012Metric,92.4525,-113.1025,180.0,top
Q1,AO3401A,SOT-23,164.8675,-60.462,90.0,top
Q2,BC817-40,SOT-23,175.457,-90.6235,180.0,top
Q3,BC817-40,SOT-23,175.457,-96.3385,180.0,top
Q4,BC817-40,SOT-23,130.1965,-93.2905,0.0,top
Q5,BC817-40,SOT-23,130.2575,-83.6385,0.0,top
R1,1k,R_0805_2012Metric,191.4105,-55.1905,0.0,top
R10,1k,R_0805_2012Metric,180.2345,-96.3385,90.0,top
R11,1k,R_0805_2012Metric,180.2345,-90.6235,-90.0,top
R12,10k,R_0805_2012Metric,167.5345,-77.2885,90.0,top
R13,220R,R_0805_2012Metric,169.924,-96.3385,180.0,top
R14,10k,R_0805_2012Metric,180.1075,-108.0225,0.0,top
R15,10k,R_0805_2012Metric,162.9625,-108.0225,0.0,top
R16,10k,R_0805_2012Metric,122.3225,-108.0225,0.0,top
R17,10k,R_0805_2012Metric,104.5425,-108.0225,0.0,top
R18,120R,R_0805_2012Metric,109.011,-92.0205,180.0,top
R19,1k,R_0805_2012Metric,126.8945,-93.2905,90.0,top
R20,120R,R_0805_2012Metric,108.898,-82.3685,180.0,top
R21,1k,R_0805_2012Metric,126.7015,-83.6385,90.0,top
R3,220k,R_0805_2012Metric,169.9475,-63.9695,90.0,top
R4,49.9k,R_0805_2012Metric,169.9475,-59.802,-90.0,top
R5,0R,R_0805_2012Metric,102.0025,-62.9375,90.0,top
R6,10k,R_0805_2012Metric,99.4625,-59.7625,90.0,top
R7,220R,R_0805_2012Metric,92.4775,-110.5625,0.0,top
R9,10k,R_0805_2012Metric,171.3445,-77.2885,90.0,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,197.2525,-66.2875,-90.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,104.5425,-113.7075,0.0,top
SW3,SW_Push,SW_Push_1P1T_XKB_TS-1187A,122.3225,-113.7075,0.0,top
SW4,SW_Push,SW_Push_1P1T_XKB_TS-1187A,162.9625,-113.7075,0.0,top
SW5,SW_Push,SW_Push_1P1T_XKB_TS-1187A,180.2825,-113.7075,0.0,top
U1,TP4057,TSOT-23-6,174.3925,-54.3595,0.0,top
U2,SY8089AAAC,SY8089AAAC_SGY,174.707501,-64.05205,90.0,top
U3,ESP32-WROVER-E,ESP32-WROVER-IE,117.1285,-65.8585,0.0,top
U4,CH340T,SSOP-20_5.3x7.2mm_P0.65mm,184.0445,-81.0985,-90.0,top
U5,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,142.9375,-114.6175,0.0,top
U6,EL817,SMDIP-4_W9.53mm,118.2585,-93.2905,0.0,top
U7,EL817,SMDIP-4_W9.53mm,118.0655,-83.6385,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,177.0595,-77.2885,180.0,top
